race_id,total_time_s,best_lap_s,max_speed_px_per_frame,collisions,nitro_duration_s
1,87.974,28.579,7.35,8,8.15
2,75.969,22.415,7.174,9,6.63
3,73.814,22.323,6.532,4,6.0
4,81.345,23.536,7.234,8,7.56
5,75.259,24.847,6.909,9,5.21
6,80.36,24.639,6.584,9,11.65
7,80.274,23.722,7.31,7,5.82
8,82.038,26.171,7.147,3,9.66
9,78.796,24.276,7.063,9,5.87
10,82.315,25.382,7.087,5,6.61
11,81.495,26.549,6.6,7,10.16
12,82.493,25.721,6.63,4,8.91
13,84.941,25.476,7.263,7,6.47
14,76.063,23.725,7.391,9,8.49
15,79.852,25.615,6.598,7,11.4
16,87.241,26.322,6.506,6,4.17
17,77.68,24.76,7.145,6,8.62
18,78.788,24.776,7.364,5,6.1
19,87.727,27.171,6.788,3,11.78
20,84.515,25.193,6.822,7,8.24
21,79.344,25.563,6.607,8,6.22
22,73.702,20.612,6.916,5,6.31
23,86.143,26.072,6.96,5,9.13
24,76.324,24.215,6.942,3,4.2
25,84.845,25.364,7.32,7,5.8
26,82.679,24.799,6.743,4,11.52
27,82.344,26.496,6.914,2,11.88
28,81.554,24.473,7.036,7,4.55
29,77.488,23.252,6.55,4,8.9
30,77.164,23.864,7.359,3,4.64
31,83.678,26.742,7.11,3,5.2
32,81.949,25.753,6.692,3,8.97
33,81.378,25.481,7.182,6,8.46
34,82.36,23.907,7.072,5,10.51
35,83.444,26.672,6.538,6,10.92
36,76.5,23.357,7.2,3,17.65
37,71.797,22.437,7.2,7,14.81
38,66.047,21.001,7.2,4,14.61
39,66.984,21.358,7.2,3,19.99
40,74.045,22.666,7.2,3,11.62
41,72.11,22.931,7.2,0,12.09
42,81.761,24.861,7.2,0,16.71
43,68.969,20.924,7.2,0,16.95
44,69.681,22.146,7.2,0,10.09
45,69.524,22.52,7.2,4,14.36
46,72.266,21.968,7.2,7,13.13
47,72.63,21.688,7.2,3,15.56
48,70.099,21.903,7.2,8,11.67
49,70.633,21.462,7.2,2,19.85
50,71.423,23.244,7.2,3,19.01
51,71.207,21.96,7.2,4,14.44
52,65.107,20.252,7.2,4,14.28
53,71.975,21.421,7.2,3,14.65
